,Age,Weight ,HtShoes  ,Ht ,Seated  ,Arm  ,Thigh,Leg      
0,0.008,0.007,0.121,0.122,0.102,0.065,0.067,0.11
1,0.033,0.005,0.134,0.135,0.104,0.067,0.064,0.144
2,0.033,0.0009,0.135,0.136,0.104,0.067,0.064,0.144
3,0.031,0.007,0.134,0.135,0.104,0.066,0.063,0.143
4,0.032,0.007,0.135,0.136,0.104,0.067,0.064,0.143
5,0.032,0.019,0.136,0.138,0.105,0.067,0.063,0.145
6,0.028,0.009,0.135,0.136,0.104,0.067,0.064,0.145
7,0.034,0.003,0.135,0.136,0.104,0.067,0.065,0.143
8,0.028,0.018,0.134,0.136,0.104,0.066,0.063,0.146
9,0.035,0.011,0.136,0.136,0.105,0.067,0.064,0.144
10,0.028,0.014,0.135,0.137,0.105,0.066,0.065,0.14
11,0.028,0.017,0.134,0.135,0.104,0.066,0.064,0.146
12,0.034,0.007,0.135,0.136,0.104,0.069,0.064,0.143
13,0.039,0.014,0.135,0.136,0.104,0.069,0.064,0.137
14,0.028,0.022,0.133,0.134,0.104,0.07,0.065,0.141
15,0.033,0.007,0.136,0.137,0.105,0.067,0.063,0.144
16,0.032,0.029,0.134,0.137,0.104,0.066,0.063,0.141
17,0.02,0.001,0.135,0.136,0.104,0.067,0.064,0.144
18,0.035,0.015,0.133,0.125,0.103,0.066,0.063,0.14
19,0.032,0.0009,0.135,0.136,0.104,0.067,0.064,0.144
20,0.03,0.01,0.136,0.137,0.105,0.068,0.065,0.142
21,0.031,0.005,0.135,0.137,0.105,0.067,0.063,0.146
22,0.032,0.0009,0.135,0.136,0.104,0.067,0.064,0.145
23,0.031,0.089,0.138,0.14,0.108,0.067,0.063,0.147
24,0.032,0.002,0.134,0.136,0.105,0.067,0.063,0.144
25,0.033,0.009,0.133,0.135,0.103,0.066,0.062,0.141
26,0.033,0.013,0.133,0.135,0.104,0.068,0.062,0.142
27,0.034,0.006,0.135,0.136,0.105,0.067,0.063,0.144
28,0.029,0.007,0.135,0.136,0.104,0.067,0.063,0.144
29,0.029,0.007,0.134,0.135,0.104,0.067,0.063,0.146
30,0.031,0.005,0.134,0.135,0.105,0.067,0.063,0.143